word,machado_fl,mac_morpho_fl,floresta_fl,genesis_fl,unitex-PB_fl,Manual Label
calor,Y,Y,Y,Y,Y,Y
Calvin,Y,N,Y,Y,N,N
calypso,Y,Y,N,Y,N,N
cam,Y,Y,Y,N,N,N
came,Y,Y,Y,N,N,N
camera,N,N,N,N,N,Y
cameraman,Y,N,Y,Y,N,N
camp,Y,N,N,N,N,N
campaign,Y,Y,Y,Y,N,N
campo,Y,Y,Y,Y,Y,Y
campus,N,Y,N,N,Y,Y
can,N,N,Y,N,N,N
Cana,N,Y,N,Y,N,Y
Canada,Y,Y,Y,Y,N,N
canal,Y,Y,Y,N,Y,Y
cancer,N,N,N,N,N,Y
cand,Y,Y,Y,Y,N,N
candy,Y,Y,Y,Y,N,N
canon,Y,Y,Y,Y,N,N
canso,Y,N,N,N,Y,Y
cant,Y,Y,Y,N,N,N
cantar,Y,Y,Y,N,Y,Y
cantina,N,N,N,N,Y,Y
canto,Y,Y,Y,N,Y,Y
Canton,Y,Y,Y,Y,N,N
cantor,Y,Y,Y,N,Y,Y
cap,N,Y,Y,Y,N,N
capacity,Y,Y,Y,Y,N,N
capital,Y,Y,Y,N,Y,Y
capote,Y,N,N,N,Y,Y
Capri,Y,N,Y,Y,N,N
car,N,Y,Y,N,N,N
Cara,Y,Y,N,N,N,Y
caracol,Y,N,N,N,Y,Y
caramba,Y,N,N,N,N,Y
caramel,Y,Y,Y,Y,N,N
carbo,N,N,N,N,N,Y
Carboniferous,Y,Y,Y,Y,N,N
card,Y,N,Y,Y,N,N
careful,Y,Y,Y,Y,N,N
carga,Y,Y,Y,N,Y,Y
cargo,Y,Y,Y,Y,Y,Y
Carl,N,N,Y,Y,N,N
Carlo,N,N,Y,Y,N,N
Carlos,N,N,Y,Y,N,N
Carman,Y,Y,Y,Y,N,N
Carmela,N,N,Y,Y,N,N
Carmen,N,N,Y,Y,N,N
carnal,Y,Y,N,N,Y,Y
Carnegie,Y,N,Y,Y,N,N
Caro,Y,Y,N,N,N,Y
carol,Y,Y,Y,Y,N,N
caroli,Y,Y,Y,Y,N,N
Carolina,N,N,Y,Y,N,N
Caroline,Y,N,Y,Y,N,N
carpet,Y,Y,Y,Y,N,N
carr,Y,Y,Y,Y,N,N
Carrie,Y,Y,Y,Y,N,N
carrot,Y,Y,Y,Y,N,N
carry,Y,Y,Y,N,N,N
cart,Y,Y,Y,Y,N,N
carter,Y,Y,Y,Y,N,N
Cartier,Y,Y,N,Y,N,N
cartoon,Y,Y,N,Y,N,N
casal,Y,Y,Y,N,Y,Y
casava,Y,N,N,N,Y,Y
case,Y,N,N,Y,Y,Y
Casey,Y,Y,Y,Y,N,N
cash,Y,N,Y,N,N,N
Casper,Y,Y,Y,Y,N,N
Cassandra,N,N,N,Y,N,N
Cassia,Y,Y,Y,Y,N,N
cassie,Y,Y,Y,Y,N,N
Cassis,Y,Y,Y,Y,N,N
cast,Y,Y,Y,N,N,N
casting,Y,Y,Y,Y,N,N
casual,Y,Y,N,N,Y,Y
cat,Y,Y,Y,N,N,N
catching,Y,Y,Y,Y,N,N
catchup,N,N,N,N,N,Y
caterva,Y,N,Y,Y,N,N
catfish,Y,Y,Y,Y,N,N
Catherine,Y,N,Y,Y,N,N
cauda,Y,Y,Y,N,Y,Y
cause,Y,N,N,Y,Y,Y
cava,Y,N,N,N,Y,Y
cavern,Y,Y,Y,Y,N,N
caviar,N,N,N,N,Y,Y
ce,Y,N,N,Y,N,N
Cecilia,N,Y,Y,Y,N,N
cede,Y,Y,Y,N,Y,Y
ceder,Y,Y,Y,N,Y,Y
Cedric,Y,Y,Y,Y,N,N
celebration,Y,Y,Y,Y,N,N
Celeste,Y,N,N,N,N,Y
celestial,Y,N,Y,N,Y,Y
cell,Y,Y,Y,Y,N,N
centavo,N,Y,N,N,Y,Y
centena,Y,Y,Y,N,Y,Y
center,N,Y,N,N,N,Y
cento,Y,Y,N,Y,Y,Y
central,Y,Y,Y,N,Y,Y
cereal,N,Y,N,N,Y,Y
cerebral,Y,Y,Y,N,Y,Y
Cesare,Y,Y,Y,Y,N,N
cest,Y,Y,Y,Y,N,N
cha,Y,N,N,N,N,Y
cham,Y,Y,Y,Y,N,N
Chama,Y,Y,Y,N,N,Y
chamar,Y,Y,Y,Y,Y,Y
champagne,Y,Y,N,N,N,Y
champion,Y,Y,Y,Y,N,N
chance,N,Y,Y,N,Y,Y
chandler,Y,Y,Y,Y,N,N
change,N,Y,Y,N,N,N
channel,Y,Y,Y,Y,N,N
chao,N,N,N,N,N,N
chape,Y,Y,Y,Y,N,N
charge,N,N,Y,N,N,N
charity,Y,Y,Y,Y,N,N
Charles,N,N,N,Y,N,N
Charlie,Y,N,Y,Y,N,N
Charlotte,Y,N,Y,Y,N,N
chart,Y,Y,Y,Y,N,N
chat,Y,Y,Y,Y,N,N
chatta,N,N,N,N,N,Y
che,N,Y,Y,Y,N,N
check,Y,N,Y,N,N,N
cheerleader,Y,Y,Y,Y,N,N
cheese,Y,Y,Y,Y,N,N
chef,N,Y,N,Y,N,Y
cheque,Y,Y,Y,N,Y,Y
cherry,Y,Y,Y,Y,N,N
Chester,Y,N,Y,Y,N,N
Chet,Y,N,Y,Y,N,N
Cheyenne,Y,Y,Y,Y,N,N
chi,N,N,Y,N,N,N
chic,Y,Y,N,N,N,Y
chicken,Y,Y,Y,N,N,N
Chico,N,N,N,Y,N,N
chicote,Y,Y,N,N,Y,Y
chile,N,Y,Y,Y,N,N
china,Y,Y,Y,Y,N,N
Chinese,Y,Y,Y,Y,N,N
ching,Y,Y,Y,Y,N,N
chip,Y,N,Y,Y,N,N
chips,N,Y,Y,N,Y,Y
chirp,Y,Y,Y,Y,N,N
choca,N,N,Y,Y,N,N
chocolate,Y,Y,N,N,Y,Y
choice,Y,Y,Y,N,N,N
Chola,Y,Y,Y,Y,N,N
chop,N,N,N,N,N,N
Chora,Y,Y,N,N,N,Y
chore,Y,Y,N,N,Y,Y
chorus,Y,Y,Y,Y,N,N
Chris,Y,N,Y,Y,N,N
Christian,N,N,N,Y,N,N
Christina,Y,N,Y,Y,N,N
Christmas,N,N,Y,Y,N,N
Christopher,Y,N,Y,Y,N,N
chrome,Y,Y,Y,Y,N,N
Chuck,Y,N,Y,Y,N,N
church,Y,Y,Y,Y,N,N
chute,Y,Y,N,N,Y,Y
Cid,N,N,Y,Y,N,N
Cindy,Y,N,Y,Y,N,N
cine,Y,N,Y,Y,N,N
cinema,N,Y,Y,N,Y,Y
circular,Y,Y,Y,N,Y,Y
circus,Y,Y,Y,Y,N,N
cirrose,N,N,N,N,Y,Y
cisco,N,Y,Y,Y,N,N
citation,Y,Y,Y,Y,N,N
cite,Y,N,Y,N,Y,Y
city,Y,Y,Y,N,N,N
civil,Y,Y,Y,N,Y,Y
clack,Y,Y,Y,Y,N,N
Claire,Y,N,Y,Y,N,N
clamor,Y,Y,N,Y,Y,Y
clap,Y,Y,Y,Y,N,N
Clara,N,N,Y,Y,N,N
Clarice,Y,N,Y,Y,N,N
Clarissa,Y,N,Y,Y,N,N
clarity,Y,Y,Y,Y,N,N
Clark,Y,N,Y,Y,N,N
claro,Y,Y,Y,N,Y,Y
class,Y,N,Y,Y,N,N
classes,Y,Y,Y,N,Y,Y
Claude,N,N,Y,Y,N,N
Claudia,Y,N,Y,Y,N,N
Claudio,Y,N,Y,Y,N,N
clave,N,Y,Y,N,N,N
Clay,N,N,Y,Y,N,N
Clayton,Y,N,Y,Y,N,N
clean,Y,Y,Y,N,N,N
clever,Y,Y,Y,Y,N,N
click,Y,Y,Y,Y,N,N
client,Y,Y,Y,Y,N,N
Cliff,Y,N,Y,Y,N,N
Clifford,Y,N,Y,Y,N,N
clima,Y,Y,Y,N,Y,Y
climber,Y,Y,Y,Y,N,N
Clinton,Y,N,N,Y,N,N
clip,Y,N,N,Y,N,N
clique,Y,N,N,N,N,Y
clone,N,Y,N,N,Y,Y
close,Y,N,Y,N,N,N
closet,N,N,N,N,Y,Y
cloud,Y,Y,Y,N,N,N
club,N,Y,Y,Y,N,N
coach,Y,Y,Y,Y,N,N
coaching,Y,Y,Y,Y,N,N
coat,Y,Y,Y,N,N,N
cobra,Y,Y,Y,N,Y,Y
coca,Y,N,N,N,Y,Y
cocktail,Y,N,N,Y,N,N
coco,Y,Y,N,N,Y,Y
code,Y,Y,Y,Y,N,N
codex,Y,Y,Y,Y,N,N
coe,Y,Y,Y,Y,N,N
coelho,Y,Y,N,N,Y,Y
coffee,Y,Y,Y,Y,N,N
Cohen,Y,N,Y,Y,N,N
coke,Y,Y,Y,Y,N,N
col,Y,N,Y,Y,N,N
cola,Y,Y,N,N,Y,Y
Cole,N,Y,N,N,N,Y
Colin,Y,N,Y,Y,N,N
collect,Y,Y,Y,Y,N,N
Collins,Y,N,Y,Y,N,N
Colombina,N,N,N,N,N,Y
color,Y,Y,Y,Y,N,N
colorado,Y,Y,Y,Y,N,N
colossal,Y,Y,N,N,Y,Y
colt,Y,Y,Y,N,N,N
Columbia,Y,N,Y,Y,N,N
coma,Y,Y,Y,Y,Y,Y
combater,Y,Y,Y,N,Y,Y
come,Y,Y,Y,Y,Y,Y
comedown,Y,Y,Y,Y,N,N
comedy,Y,Y,Y,Y,N,N
comer,Y,Y,Y,Y,Y,Y
comes,Y,N,N,Y,Y,Y
comic,Y,Y,Y,Y,N,N
coming,Y,Y,Y,N,N,N
command,Y,Y,Y,N,N,N
comment,Y,Y,Y,N,N,N
commercial,Y,Y,Y,Y,N,N
common,Y,Y,Y,Y,N,N
comparison,Y,Y,Y,Y,N,N
compete,Y,Y,Y,N,Y,Y
compiler,Y,Y,Y,Y,N,N
complete,N,Y,N,N,N,Y
compos,N,N,N,N,N,Y
composed,Y,Y,Y,Y,N,N
compositor,Y,Y,Y,N,Y,Y
comprador,Y,Y,Y,N,Y,Y
con,N,N,Y,Y,N,N
concede,Y,Y,N,N,Y,Y
conceder,Y,Y,Y,N,Y,Y
concept,Y,Y,Y,Y,N,N
concert,Y,Y,Y,Y,N,N
concerto,Y,Y,Y,Y,Y,Y
concha,Y,N,N,N,Y,Y
conciliar,Y,Y,Y,N,Y,Y
concretize,N,N,Y,N,Y,Y
concurso,Y,Y,Y,Y,Y,Y
cone,Y,N,N,N,Y,Y
cones,N,Y,N,N,Y,Y
confabular,N,N,N,N,Y,Y
confirmed,Y,Y,Y,Y,N,N
Congo,Y,Y,N,N,N,Y
Congresso,Y,Y,Y,N,N,Y
connection,Y,Y,Y,Y,N,N
conquistador,Y,Y,Y,N,Y,Y
conserve,Y,Y,Y,N,Y,Y
console,Y,Y,N,N,Y,Y
consultor,N,Y,Y,N,Y,Y
contact,Y,N,Y,Y,N,N
conte,Y,Y,N,N,Y,Y
content,N,Y,Y,N,N,N
conter,Y,Y,Y,Y,Y,Y
continental,Y,Y,Y,N,Y,Y
continuando,Y,Y,Y,N,Y,Y
continue,Y,Y,Y,N,Y,Y
conto,Y,Y,N,N,Y,Y
contra,Y,Y,Y,Y,Y,Y
converse,Y,Y,Y,N,Y,Y
converter,Y,Y,Y,N,Y,Y
convictor,Y,Y,Y,Y,N,N
coo,N,Y,Y,Y,N,N
cook,Y,Y,Y,Y,N,N
cool,Y,N,N,N,N,N
coom,Y,Y,Y,Y,N,N
coop,Y,Y,Y,Y,N,N
cooper,Y,N,Y,Y,N,N
copa,Y,Y,N,N,Y,Y
copis,Y,Y,Y,Y,N,N
copy,Y,N,Y,Y,N,N
copyright,Y,Y,Y,Y,N,N
coque,Y,N,N,N,Y,Y
coqueluche,Y,Y,N,N,Y,Y
cor,Y,Y,Y,N,Y,Y
Cora,N,Y,Y,Y,N,N
coral,Y,Y,Y,N,Y,Y
cordel,Y,N,N,N,Y,Y
core,N,Y,Y,Y,N,N
Corey,Y,N,Y,Y,N,N
Corinthian,Y,Y,Y,Y,N,N
corner,Y,Y,Y,Y,N,N
coroa,Y,Y,Y,N,Y,Y
corporal,Y,Y,Y,N,Y,Y
corps,N,Y,Y,N,N,N
corpus,N,N,Y,Y,N,N
Correa,N,N,Y,Y,N,N
corrente,Y,Y,Y,N,Y,Y
corresponder,Y,Y,N,N,Y,Y
corrige,Y,Y,Y,N,Y,Y
corta,Y,Y,Y,N,Y,Y
cortina,Y,Y,N,N,Y,Y
cos,N,Y,Y,Y,N,N
cost,Y,Y,Y,N,N,N
costa,Y,Y,Y,N,Y,Y
costume,Y,Y,Y,Y,Y,Y
cote,N,N,N,N,Y,Y
cotise,Y,Y,Y,Y,N,N
could,Y,Y,Y,N,N,N
count,Y,Y,Y,N,N,N
counter,Y,Y,Y,Y,N,N
country,N,N,N,N,N,N
couple,Y,Y,Y,Y,N,N
course,N,N,Y,Y,N,N
Courtney,Y,Y,Y,Y,N,N
cousin,Y,Y,Y,N,N,N
cover,N,Y,Y,Y,N,Y
cowboy,N,Y,Y,N,N,Y
cox,Y,Y,Y,Y,N,N
coxa,Y,Y,Y,Y,Y,Y
coyote,N,N,N,N,N,Y
crack,Y,N,Y,Y,N,N
crackers,Y,Y,Y,Y,N,N
Craig,Y,N,Y,Y,N,N
crash,Y,N,Y,N,N,N
crazy,Y,Y,Y,N,N,N
cream,Y,Y,Y,Y,N,N
creative,Y,Y,Y,Y,N,N
creche,N,Y,N,N,Y,Y
credit,Y,Y,Y,Y,N,N
Credo,Y,Y,N,N,N,Y
creed,Y,Y,Y,Y,N,N
creep,Y,Y,Y,Y,N,N
crepe,Y,Y,N,N,Y,Y
crescendo,Y,Y,N,N,Y,Y
crew,Y,Y,Y,N,N,N
crime,Y,Y,Y,Y,Y,Y
criminal,Y,Y,Y,N,Y,Y
Cris,Y,N,Y,Y,N,N
crises,Y,Y,Y,N,Y,Y
crisis,Y,Y,Y,Y,N,N
Cristi,Y,Y,Y,Y,N,N
Cristina,N,N,Y,Y,N,N
critique,Y,N,N,N,Y,Y
cross,Y,N,Y,Y,N,N
crossover,Y,Y,Y,Y,N,N
crucial,N,Y,Y,N,Y,Y
cruel,Y,Y,Y,Y,Y,Y
cruise,Y,Y,Y,Y,N,N
crush,Y,Y,Y,Y,N,N
cruzeiro,Y,Y,Y,N,Y,Y
cry,N,N,Y,N,N,N
Cuba,N,N,N,Y,N,N
cuddle,Y,Y,Y,Y,N,N
cueca,N,Y,N,N,Y,Y
Cullen,Y,Y,Y,Y,N,N
culpa,Y,Y,Y,N,Y,Y
cult,Y,N,Y,Y,N,N
cultural,N,Y,Y,N,Y,Y
cum,N,Y,Y,N,N,N
cup,Y,Y,Y,N,N,N
cur,Y,Y,Y,Y,N,N
curd,Y,Y,Y,Y,N,N
curiosa,Y,Y,Y,N,Y,Y
curioso,Y,Y,Y,N,Y,Y
curious,Y,Y,Y,Y,N,N
curricular,N,N,Y,N,Y,Y
curriculum,N,Y,N,N,N,Y
cursor,N,Y,N,N,Y,Y
Curtis,Y,Y,Y,Y,N,N
curucucu,N,N,N,N,N,Y
cut,Y,Y,Y,N,N,N
cute,Y,Y,Y,N,N,N
cyrus,Y,Y,Y,Y,N,N
da,Y,Y,N,Y,Y,Y
dad,Y,Y,Y,N,N,N
dada,N,N,N,N,N,N
dado,Y,Y,Y,Y,Y,Y
dae,N,N,N,N,N,N
daft,Y,Y,Y,Y,N,N
dag,Y,Y,Y,N,N,N
dah,Y,Y,Y,Y,N,N
dale,N,N,N,Y,N,Y
Dalton,Y,N,Y,Y,N,N
dama,Y,Y,Y,N,Y,Y
damn,Y,Y,Y,Y,N,N
Damon,Y,N,Y,Y,N,N
dan,Y,Y,Y,N,N,N
Dana,Y,Y,Y,Y,N,N
dance,Y,Y,N,N,Y,Y
dancer,Y,Y,Y,Y,N,N
dancing,Y,N,N,Y,N,N
Dane,Y,N,Y,Y,N,N
Dani,Y,N,Y,Y,N,N
Daniel,N,N,N,Y,N,N
Daniele,Y,Y,Y,Y,N,N
Danielle,Y,N,Y,Y,N,N
Danny,Y,N,Y,Y,N,N
dao,N,N,N,N,N,Y
dar,Y,Y,Y,Y,Y,Y
Darci,Y,N,Y,Y,N,N
dark,Y,Y,Y,N,N,N
darkness,N,Y,Y,N,N,N
Darren,Y,Y,Y,Y,N,N
Daryl,Y,Y,Y,Y,N,N
das,Y,Y,N,Y,Y,Y
dash,Y,Y,Y,Y,N,N
data,N,N,N,Y,N,N
date,Y,N,Y,N,N,N
dating,Y,Y,Y,Y,N,N
Dave,Y,N,N,Y,N,N
David,N,N,Y,Y,N,N
Dawn,Y,N,Y,Y,N,N
day,N,N,Y,N,N,N
days,Y,Y,Y,N,N,N
de,Y,Y,Y,Y,Y,Y
dead,Y,Y,Y,N,N,N
Dean,Y,N,Y,Y,N,N
dear,N,Y,Y,Y,N,N
death,N,N,Y,N,N,N
debate,Y,Y,Y,N,Y,Y
debater,Y,Y,Y,N,Y,Y
Debbie,Y,Y,Y,Y,N,N
Deborah,Y,N,Y,N,N,N
debut,Y,Y,Y,Y,N,N
debutante,N,Y,N,N,Y,Y
decide,Y,Y,Y,N,Y,Y
deck,Y,Y,Y,Y,N,N
declare,Y,N,N,Y,Y,Y
dedication,Y,Y,Y,Y,N,N
dedo,Y,Y,Y,N,Y,Y
dee,N,N,N,N,N,Y
deem,Y,Y,Y,Y,N,N
deep,Y,Y,Y,N,N,N
defender,Y,Y,Y,N,Y,Y
defensor,Y,Y,N,N,Y,Y
define,Y,Y,Y,N,Y,Y
defy,Y,Y,Y,Y,N,N
Del,N,N,Y,Y,N,N
delator,Y,N,Y,N,Y,Y
delay,Y,N,Y,Y,N,N
dele,Y,N,N,Y,Y,Y
delicioso,Y,Y,Y,N,Y,Y
Delicious,Y,Y,Y,Y,N,N
delivery,Y,Y,Y,Y,N,N
Delta,Y,Y,N,Y,N,N
Demerol,Y,Y,Y,Y,N,N
demi,Y,Y,Y,N,N,N
demos,Y,Y,Y,Y,Y,Y
dengue,N,Y,Y,N,Y,Y
Denis,N,N,Y,Y,N,N
dental,N,Y,N,N,Y,Y
depender,Y,Y,Y,N,Y,Y
depression,Y,Y,Y,Y,N,N
depressor,N,N,N,N,Y,Y
derby,Y,Y,Y,Y,N,N
Derek,Y,N,Y,Y,N,N
descend,Y,Y,Y,N,N,N
design,N,Y,Y,N,Y,Y
designer,Y,N,Y,Y,N,N
desk,Y,Y,Y,Y,N,N
dessa,Y,N,N,Y,Y,Y
detect,Y,Y,Y,Y,N,N
deter,Y,Y,Y,N,Y,Y
determination,Y,Y,Y,Y,N,N
dev,Y,N,Y,Y,N,N
deva,Y,Y,Y,N,Y,Y
devolve,Y,Y,N,N,Y,Y
Dexter,Y,Y,Y,Y,N,N
di,Y,Y,N,Y,N,Y
diabetes,N,Y,N,N,Y,Y
Diadema,N,N,Y,Y,N,N
dial,Y,Y,Y,Y,N,N
Diana,N,N,Y,Y,N,N
Diane,Y,N,Y,Y,N,N
Dick,N,N,Y,Y,N,N
did,Y,Y,Y,N,N,N
die,N,N,Y,N,N,N
Diego,Y,N,Y,Y,N,N
diesel,N,Y,N,N,Y,Y
digital,Y,Y,Y,N,Y,Y
digs,Y,Y,Y,Y,N,N
din,Y,Y,Y,N,N,N
Dinah,Y,N,Y,N,N,N
dinheiro,Y,Y,Y,Y,Y,Y
dinner,Y,Y,Y,Y,N,N
dip,Y,Y,Y,Y,N,N
diploma,Y,Y,Y,N,Y,Y
dire,N,Y,Y,N,N,N
direct,Y,Y,Y,N,N,N
direction,N,Y,Y,Y,N,N
dirigent,Y,Y,Y,Y,N,N
dis,N,Y,Y,N,N,N
disband,Y,Y,Y,Y,N,N
discovered,Y,Y,Y,Y,N,N
discovery,Y,Y,Y,Y,N,N
disk,Y,N,Y,Y,N,N
display,Y,N,Y,Y,N,N
diss,Y,Y,Y,Y,N,N
dissolve,N,N,Y,Y,N,N
distingue,Y,Y,Y,N,Y,Y
disturbed,Y,Y,Y,Y,N,N
dita,Y,Y,Y,N,Y,Y
diva,Y,Y,N,N,Y,Y
divide,Y,Y,Y,Y,Y,Y
divisor,N,Y,Y,N,Y,Y
divorce,N,N,N,N,N,Y
Dixie,Y,Y,Y,Y,N,N
do,Y,Y,N,Y,Y,Y
doc,Y,Y,Y,Y,N,N
dock,Y,N,Y,N,N,N
doctor,Y,Y,Y,Y,N,N
doe,Y,Y,Y,N,N,N
doer,Y,Y,N,Y,Y,Y
does,Y,Y,Y,N,N,N
dog,Y,N,Y,N,N,N
doing,Y,Y,Y,N,N,N
dola,Y,Y,Y,Y,N,N
doll,Y,N,Y,Y,N,N
dollar,N,Y,Y,Y,N,N
dolly,Y,Y,Y,Y,N,N
Dolores,N,Y,Y,Y,N,N
dom,Y,Y,Y,N,Y,Y
dome,Y,N,N,N,Y,Y
dominical,Y,Y,N,N,Y,Y
Dominique,Y,N,Y,Y,N,N
domino,Y,Y,N,N,Y,Y
Don,N,N,Y,N,N,N
Donald,Y,N,Y,Y,N,N
donative,N,N,N,N,N,Y
donkey,Y,Y,Y,N,N,N
Donna,Y,N,N,Y,N,N
Donnie,Y,Y,Y,Y,N,N
doodle,Y,Y,Y,Y,N,N
door,Y,Y,Y,N,N,N
dope,Y,Y,Y,Y,N,N
dor,Y,Y,Y,Y,Y,Y
Dora,N,N,Y,Y,N,N
Dori,Y,N,Y,Y,N,N
doria,Y,Y,Y,Y,N,N
Dorothy,Y,N,Y,Y,N,N
dos,Y,Y,N,Y,Y,Y
dose,Y,Y,Y,Y,Y,Y
Dot,Y,Y,Y,Y,N,N
dote,Y,Y,N,Y,Y,Y
double,Y,Y,Y,N,N,N
doubt,N,Y,Y,N,N,N
douce,Y,Y,Y,Y,N,N
Doug,Y,Y,Y,Y,N,N
dough,Y,Y,Y,Y,N,N
Douglas,N,N,Y,Y,N,N
dout,Y,Y,Y,Y,N,N
down,Y,N,Y,N,N,N
Downton,Y,Y,Y,Y,N,N
doze,Y,Y,Y,Y,Y,Y
Draco,N,N,Y,Y,N,N
draft,Y,N,Y,Y,N,N
drag,Y,N,Y,N,N,N
dragon,Y,Y,Y,Y,N,N
drake,Y,Y,Y,Y,N,N
drama,Y,Y,Y,N,Y,Y
drawn,Y,Y,Y,Y,N,N
dread,Y,Y,Y,N,N,N
dream,Y,N,Y,N,N,N
Drew,Y,N,Y,Y,N,N
drift,Y,Y,Y,Y,N,N
drifting,Y,Y,Y,Y,N,N
drink,Y,Y,Y,N,N,N
drive,Y,N,Y,Y,N,N
driver,Y,N,Y,N,N,N
drone,Y,Y,Y,Y,N,N
drop,Y,Y,Y,Y,N,N
drupal,Y,Y,Y,Y,N,N
dry,Y,N,Y,N,N,N
dude,Y,Y,Y,Y,N,N
dum,N,Y,Y,N,N,N
duma,Y,N,N,Y,Y,Y
dump,Y,Y,Y,Y,N,N
Duncan,Y,N,Y,Y,N,N
dunk,Y,Y,Y,Y,N,N
duo,N,N,Y,Y,N,N
dupla,Y,Y,Y,N,Y,Y
duplex,Y,Y,Y,Y,N,N
dura,Y,Y,Y,Y,Y,Y
dure,Y,Y,Y,N,Y,Y
duro,Y,Y,Y,N,Y,Y
Dylan,Y,N,Y,Y,N,N
ea,Y,Y,Y,N,N,N
early,Y,Y,Y,N,N,N
earth,N,Y,Y,N,N,N
east,Y,Y,Y,N,N,N
easy,Y,Y,Y,Y,N,N
eats,Y,Y,Y,N,N,N
Ebenezer,N,Y,Y,Y,N,N
echo,Y,Y,Y,Y,N,N
eclipse,Y,Y,N,N,Y,Y
economize,N,N,N,N,Y,Y
ecstasy,N,N,N,N,N,Y
Ed,N,N,Y,N,N,N
Eddie,Y,N,N,Y,N,N
Eden,N,N,Y,N,N,N
Edgar,N,N,Y,Y,N,N
edit,Y,N,Y,Y,N,N
edital,Y,Y,Y,N,Y,Y
edition,Y,Y,Y,Y,N,N
